Paper_ID,Artcle-URI,Article-Title,Acupoints-Extracted,Acupoints-Normalized,Acupoints-Mapped,Acupoints-Unmappable,Acupoints_TARA_IDs,Comment for internal use (CORE),Comment from TEAM-Core,Comment
1555,,"A one year follow-up study on the effects of acupuncture in the treatment of stroke patients in the subacute stage: a randomized, controlled study",Not specified,,,,,,,
1870,,Acupuncture and acupressure for pain management in labour and birth: A critical narrative review of current systematic review evidence,"SP 6, L.I. 4",,,,,,,
1217,,Acupuncture for Bell's palsy,"EX-HN 5, ST 7, ST 6, ST 4, SI 18, SJ 17, LI 20, LI 4, ST 40, ST 36, LR 3, BL 14, ST 2, BL 1, GB 1, GB 20, SJ 23, EX-HN 4, GV 36, EX-HN 17, RN 6, RN 4, BL 2",,,,,,,
1212,,Acupuncture for Bell's palsy (Review),Not specified,,,,,,,
1341,,Acupuncture for Neck Disorders,Not specified,,,,,,,
317,,Acupuncture for Migraine: A Systematic Review of Chinese,"GB 8, GB 20, LI 4, LR 3, EX HN 5, Ashi points",,,,,,,
