"Paper_ID","TARA-KB:Article_ID","TARA-KB:Study_ID","TARA-KB:OCSI_Set_ID","Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment",""
"1440","A-112625-1440","S-112625-1440","O-112625-1440","https://doi.org/10.1378/chest.96.1.102","Comparison of Real and Placebo Acupuncture in Histamine-Induced Asthma A Double-Blind Crossover Study","Dingchuan, Ren 17, Lung 6, Lung 7, Triple Energy 5, Stomach 25, Gallbladder 34","Dingchuan, Ren 17, Lung 6, Lung 7, Triple Energy 5, Stomach 25, Gallbladder 34","Dingchuan, CV 17, LU 6, LU 7, ST 25, GB 34","Triple Energy 5","TARA:8009041, TARA:3472408, TARA:3496812, TARA:3515622, TARA:5717468, TARA:8758950","","","",""
"1453","A-112625-1453","S-112625-1453","O-112625-1453","https://pubmed.ncbi.nlm.nih.gov/339785.0/","Comparison of real and simulated acupuncture and isoproterenol in methacholine-induced asthma","LI 4, GV 14, ST 36, LU 7","LI 4, GV 14, ST 36, LU 7","LI 4, GV 14, ST 36, LU 7","","TARA:0859695, TARA:8452754, TARA:6463344, TARA:3515622","","","",""
"108","A-112625-108","S-112625-108","O-112625-108","https://doi.org/10.1097/00002508-200205000-00003","Comparison of Superficial and Deep Acupuncture in the Treatment of Lumbar Myofascial Pain: A Double-Blind Randomized Controlled Study","VG 6, GB 34, UB 54, UB 62","VG 6, GB 34, UB 54, UB 62","GV 6, GB 34, BL 54, BL 62","","TARA:5902217, TARA:8758950, TARA:0488267, TARA:1628341","","","",""
"90","A-112625-90","S-112625-90","O-112625-90","https://doi.org/10.1177/0269215507082738","Comparison of the effect of two types of acupuncture on quality of life in secondary progressive multiple sclerosis: a preliminary single-blind randomized controlled trial","Stomach 34, Spleen 10","Stomach 34, Spleen 10","ST 34, SP 10","","TARA:8773594, TARA:8433932","","","",""
"1509","A-112625-1509","S-112625-1509","O-112625-1509","https://doi.org/10.3727/036012902816026040","Comparison of the Effectiveness Between Manual Acupuncture and Electroacupuncture on Patients With Tennis Elbow","GB 34, ST 38","GB 34, ST 38","GB 34, ST 38","","TARA:8758950, TARA:3182190","","","",""
"127","A-112625-127","S-112625-127","O-112625-127","https://doi.org/10.1136/aim.2009.001164","Comparison of the effectiveness of acupuncture treatment and local anaesthetic injection for low back pain: a randomised controlled clinical trial","Not specified","Not specified","","","","","","",""
"68","A-112625-68","S-112625-68","O-112625-68","https://doi.org/10.1136/aim.2008.000067","Comparison of the effectiveness of six and two acupuncture point regimens in osteoarthritis of the knee: a randomised trial","ST 35, EX-LE 4, ST 36, SP 9, SP 10, ST 34","ST 35, EX-LE 4, ST 36, SP 9, SP 10, ST 34","ST 35, Medial Xiyan, ST 36, SP 9, SP 10, ST 34","","TARA:2454652, TARA:8759132, TARA:6463344, TARA:3553465, TARA:8433932, TARA:8773594","","","",""
"1645","A-112625-1645","S-112625-1645","O-112625-1645","https://doi.org/10.1016/j.jams.2016.06.002","Comparison of the Effects of Manual Acupuncture, Laser Acupuncture, and Electromagnetic Field Stimulation at Acupuncture Point BL15 on Heart Rate Variability","BL 15","BL 15","BL 15","","TARA:5797983","","","",""
"996","A-112625-996","S-112625-996","O-112625-996","https://doi.org/10.1016/j.ajem.2015.02.033","Comparison of the efficacy of diclofenac, acupuncture, and acetaminophen in the treatment of renal colic","UB 21, UB 22, UB 23, UB 24, UB 45, UB 46, UB 47, UB 48","UB 21, UB 22, UB 23, UB 24, UB 45, UB 46, UB 47, UB 48","BL 21, BL 22, BL 23, BL 24, BL 45, BL 46, BL 47, BL 48","","TARA:4839095, TARA:3963382, TARA:0992296, TARA:7357260, TARA:8937265, TARA:0607588, TARA:1766712, TARA:6893448","","","",""
"356","A-112625-356","S-112625-356","O-112625-356","https://doi.org/10.1186/s12906-016-1477-2","Comparison of the placebo effect between different non-penetrating acupuncture devices and real acupuncture in healthy subjects: a randomized clinical trial","ST 25, BL 52","ST 25, BL 52","ST 25, BL 52","","TARA:5717468, TARA:7228895","","","",""
"1644","A-112625-1644","S-112625-1644","O-112625-1644","https://doi.org/10.2519/jospt.2014.5229","Comparison of the Short-Term Outcomes
Between Trigger Point Dry Needling and
Trigger Point Manual Therapy for the
Management of Chronic Mechanical Neck
Pain: A Randomized Clinical Trial","Not specified","Not specified","","","","","","",""
