"Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X0600376X","A Clinical Study of Acupuncture and SSP (Silver Spike Point) Electro-th erapy for Dry Eye Syndrome","EX-HN, SJ 23, G 14, S 2, S 6","EX-HN, SJ 23, G 14, S 2, S 6","TE 23, GB 14, ST 2, ST 6","EX-HN","TARA:6752232, TARA:9987270, TARA:6392753, TARA:7834226","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X97000044","A Clinical Study on Physiological Response in Electroacupuncture Analgesia and Meperidine Analgesia for Colonoscopy","ST 36, ST 37, EP 11","ST 36, ST 37, EP 11","ST 36, ST 37","EP 11","TARA:6463344, TARA:5918799","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A clinical study on the therapeutic effect of abdominal acupuncture in treating radicular cervical spondylosis","CV 8, Zhongwan","CV 8, Zhongwan","CV 8, CV 12","","TARA:9392275, TARA:0434959","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jep.2013.04.045","A clinical trial of acupuncture about time-varying treatment and points selection in primary dysmenorrhea","SP 6, SP 8, BL 32, EX-B 8","SP 6, SP 8, BL 32, EX-B 8","SP 6, SP 8, BL 32, Shiqizhui","","TARA:4385250, TARA:6848518, TARA:6742407, TARA:9907701","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A Comparative Study Between Simple Bo's Abdominal Acupuncture and its Combination with Radiation by Electromagnetic Wave in Treating Chronic Gastritis","RN 12, RN 10, RN 6, RN 4, ST 25","RN 12, RN 10, RN 6, RN 4, ST 25","CV 12, CV 10, CV 6, CV 4, ST 25","","TARA:0434959, TARA:1822260, TARA:8833337, TARA:9921528, TARA:5717468","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X91000156","A Comparative Study of Diazepam and Acupuncture in Patients with Osteoarthritis Pain: A Placebo Controlled Study","LI 3, DU 14, DU 16, DU 20, GB 20","LI 3, DU 14, DU 16, DU 20, GB 20","LI 3, GV 14, GV 16, GV 20, GB 20","","TARA:7867167, TARA:8452754, TARA:3361967, TARA:3386254, TARA:2324295","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X84000088","A Comparative Study of the Pain Alleviating Effect of Vibratory Stimulation, Transcutaneous Electrical Nerve Stimulation, Electroacupuncture and Placebo","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1186/s12906-018-2087-y","A comparative study of three conservative treatments in patients with lumbar spinal stenosis: lumbar spinal stenosis with acupuncture and physical therapy study (LAP study)","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","","TARA:0992296, TARA:0906448, TARA:8423766, TARA:0488267, TARA:5290080, TARA:8758950, TARA:4589241","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1007/BF02836497","A Comparative Study on the Acupoints of Specialty of Baihui, Shuigou and Shenmen in Treating Vascular Dementia*","LI 15, LI 11, SJ 5, LI 4, SP 10, ST 36, SP 6, LR 3, DU 20, DU 26, HT 7","LI 15, LI 11, SJ 5, LI 4, SP 10, ST 36, SP 6, LR 3, DU 20, DU 26, HT 7","LI 15, LI 11, TE 5, LI 4, SP 10, ST 36, SP 6, LR 3, GV 20, GV 26, HT 7","","TARA:7829474, TARA:8923096, TARA:8393005, TARA:0859695, TARA:8433932, TARA:6463344, TARA:4385250, TARA:6499349, TARA:3386254, TARA:0829128, TARA:2442762","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1186/s12906-017-1589-3","A comparative study on the effects of systemic manual acupuncture, periauricular electroacupuncture, and digital electroacupuncture to treat tinnitus: A randomized, paralleled, open-labeled exploratory trial","TE 17, TE 21, SI 19, GB 2, GB 8, ST 36, ST 37, TE 3, TE 9","TE 17, TE 21, SI 19, GB 2, GB 8, ST 36, ST 37, TE 3, TE 9","TE 17, TE 21, SI 19, GB 2, GB 8, ST 36, ST 37, TE 3, TE 9","","TARA:6615149, TARA:3361879, TARA:1772472, TARA:2849795, TARA:5363236, TARA:6463344, TARA:5918799, TARA:5356503, TARA:5590422","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10513096.0/","A Comparative Study on the Treatment of Migraine Headache With Combined Distant and Local Acupuncture Points Versus Conventional Drug Therapy","K 3, GV 20, ST 36, M HN 9, Taichong","K 3, GV 20, ST 36, M HN 9, Taichong","KI 3, GV 20, ST 36, Taiyang, LR 3","","TARA:4362146, TARA:3386254, TARA:6463344, TARA:9534465, TARA:6499349","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A Comparative Study on the Treatment of Upper Urinary Tract Calculus with an Improved Acupuncture Protocol","BL 51, BL 52, BL 39, L1 Jiaji, L2 Jiaji, BL 23, BL 22, GB 25, ST 25, CV 6, BL 32, BL 28, CV 3, ST 28, SP 6","BL 51, BL 52, BL 39, L1 Jiaji, L2 Jiaji, BL 23, BL 22, GB 25, ST 25, CV 6, BL 32, BL 28, CV 3, ST 28, SP 6","BL 51, BL 52, BL 39, BL 23, BL 22, GB 25, ST 25, CV 6, BL 32, BL 28, CV 3, ST 28, SP 6","L1 Jiaji, L2 Jiaji","TARA:4667633, TARA:7228895, TARA:2186848, TARA:0992296, TARA:3963382, TARA:1882219, TARA:5717468, TARA:8833337, TARA:6742407, TARA:5318530, TARA:0022762, TARA:5017471, TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A Comparative Study on Treating Lumbar Intervertebral Disc Herniation with Electroacupuncture to the Jiaji (EX-B2) Points and Routine Acupuncture","EX B2, BL 23, BL 25, GB 30, BL 40, GB 34, BL 7, BL 60, DU 4, KI 3","EX B2, BL 23, BL 25, GB 30, BL 40, GB 34, BL 7, BL 60, DU 4, KI 3","Huatuojiaji, BL 23, BL 25, GB 30, BL 40, GB 34, BL 7, BL 60, GV 4, KI 3","","TARA:3734471, TARA:0992296, TARA:0906448, TARA:9378285, TARA:5290080, TARA:8758950, TARA:9927492, TARA:5047947, TARA:8557069, TARA:4362146","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.3727/036012910803860940","A Comparison Between Pulsed Radiofrequency and Electro-acupuncture for Relieving Pain in Patients with Chronic Low Back Pain","BL 23, BL 25, BL 40, SP 6","BL 23, BL 25, BL 40, SP 6","BL 23, BL 25, BL 40, SP 6","","TARA:0992296, TARA:0906448, TARA:5290080, TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
