Acupoint_IRI,Acupoint_Curie,Acupoint,Acupoint_Category,Synonym,Pinyin_Name,Chinese_Name,Meridian,Special_Point_Role,Location,Locational_Anatomy,Acupuncture_Method,Indications,Innervation,Nearby_Nerve,Vasculature,Nearby_Artery,Nearby_Vein,Reference
http://purl.org/tara/ontology/TARA_1031890,TARA:1031890,GB 12,Meridian Acupuncture Point,"G 12, Gallbladder 12",Wangu,完骨(骨),Gallbladder Meridian,,"In the anterior region of the neck, in the depression posteroinferior to the mastoid process.",neck (mastoid process of temporal bone),Puncture obliquely 0.3-0.5 inch. Moxibustion is applicable.,"deviation of the eye, deviation of the mouth, headache, insomnia, swelling of the cheek, toothache, retroauricular pain",The lesser occipital nerve.,,The posterior auricular artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 177. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_4994509,TARA:4994509,GB 13,Meridian Acupuncture Point,"G 13, Gallbladder 13",Benshen,本神(神),Gallbladder Meridian,,"On the head, 0.5 B-cun superior to the anterior hairline, 3 B-cun lateral to the anterior median line.
 - Note: GB 13 is at the junction of the medial two thirds and lateral one third of the curved line from GV 24 to ST 8.","head (anterior median line, anterior hairline)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"epilepsy, headache, insomnia, vertigo",The lateral branch of the frontal nerve.,,"The frontal branches of the superficial temporal artery and vein, and the lateral branches of the frontal artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 178. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_9987270,TARA:9987270,GB 14,Meridian Acupuncture Point,"G 14, Gallbladder 14",Yangbai,陽(阳)白,Gallbladder Meridian,,"On the head, 1 B-cun superior to the eyebrow, directly superior to the centre of the pupil.","head (pupil, eyebrow)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"pain in the eye, vertigo, eyelid twitching, lacrimation, headache in the frontal region, pain of the orbital ridge, ptosis of the eyelids",The lateral branch of the frontal nerve.,,The lateral branches of the frontal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 178. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_6739423,TARA:6739423,GB 15,Meridian Acupuncture Point,"G 15, Gallbladder 15",Toulinqi,頭(头)臨(临)泣,Gallbladder Meridian,,"On the head, 0.5 B-cun within the anterior hairline, directly superior to the centre of the pupil.
 - Note: When looking straight ahead, GB 15 is superior to the centre of the pupil, at the midpoint of the curved line from GV 24 to ST 8.","head (pupil, anterior hairline)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"headache, nasal obstruction, vertigo, rhinorrhea, pain in the outer canthus, lacrimation",The anastomotic branch of the medial and lateral branches of the frontal nerve.,,The frontal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 179. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_1336342,TARA:1336342,GB 16,Meridian Acupuncture Point,"G 16, Gallbladder 16",Muchuang,目窗(窓),Gallbladder Meridian,,"On the head, 1.5 B-cun within the anterior hairline, directly superior to the centre of the pupil.
 - Note: GB 16 is 1 B-cun superior to GB 15.","head (pupil, anterior hairline)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"headache, pain in the eye, redness of the eye, nasal obstruction, vertigo",The anastomotic branch of the medial and lateral branches of the frontal nerve.,,The frontal branches of the superficial temporal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 179. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_1285513,TARA:1285513,GB 17,Meridian Acupuncture Point,"G 17, Gallbladder 17",Zhengying,"正營(营,営)",Gallbladder Meridian,,"On the head, 2.5 B-cun within the anterior hairline, directly superior to the centre of the pupil.
 - Note: GB 17 is 2 B-cun superior to GB 15.","head (pupil, anterior hairline)",Puncture subcutaneously 0.3-0‚Ä¢.5 inch. Moxibustion is applicable.,"migraine, vertigo",The anastomotic branch of the frontal and great occipital nerves.,,The anastomotic plexus formed by the parietal branches of the superficial temporal artery and vein and the occipital artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 180. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_8907823,TARA:8907823,GB 18,Meridian Acupuncture Point,"G 18, Gallbladder 18",Chengling,"承靈(灵,霊)",Gallbladder Meridian,,"On the head, 4 B-cun within the anterior hairline, directly superior to the centre of the pupil.
 - Note: GB 18 is 1.5 B-cun posterior to GB 17, at the same level as BL 7.","head (pupil, anterior hairline)",Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,,The branch of the great occipital nerve.,,The branches of the occipital artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 180. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_3493245,TARA:3493245,GB 19,Meridian Acupuncture Point,"G 19, Gallbladder 19",Naokong,"腦(脑,脳)空",Gallbladder Meridian,,"On the head, at the same level as the superior border of the external occipital protuberance, directly superior to GB 20.
 - Note: GB 19 is at the same level as GV 17 and BL 9.",head (external occipital protuberance),Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.,"epilepsy, headache, vertigo, tinnitus, stiffness of the neck, painful eye",,,The branches of the occipital artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 181. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_2849795,TARA:2849795,GB 2,Meridian Acupuncture Point,"G 2, Gallbladder 2",Tinghui,"聽(听,聴)會(会)",Gallbladder Meridian,,"On the face, in the depression between the intertragic notch and the condylar process of the mandible.
 - Note: When the mouth is opened, GB 2 is located in the depression anterior to the intertragic notch.","face (intertragic incisure, mandible condylar process)",Puncture perpendicularly 0.5-0.7 inch. Moxibustion is applicable.,"deviation of the eye, deviation of the mouth, deafness, tinnitus, mumps, toothache, motor impairment of the temporomandibular joint",The great auricular nerve and facial nerve.,,The superficial temporal artery.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 172. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_2324295,TARA:2324295,GB 20,Meridian Acupuncture Point,"G 20, Gallbladder 20",Fengchi,風(风)池,Gallbladder Meridian,,"In the anterior region of the neck, inferior to the occipital bone, in the depression between the origins of sternocleidomastoid and the trapezius muscles.
 - Note: GB 20 is at the same level as GV 16.","neck (occipital bone, sternocleidomastoid, trapezius muscle)",Puncture 0.5-0.8 inch towards the tip of the nose. Moxibustion is applicable.,"epilepsy, infantile convulsion, headache, insomnia, febrile disease, pain in the eye, redness of the eye, nasal obstruction, glaucoma, common cold, convulsion, vertigo, pain in the neck, tinnitus, blurred vision, rhinorrhea, stiffness of the neck",The branch of the lesser occipital nerve.,,The branches of the occipital artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 181. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_5389461,TARA:5389461,GB 21,Meridian Acupuncture Point,"G 21, Gallbladder 21",Jianjing,肩井,Gallbladder Meridian,,"In the posterior region of the neck, at the midpoint of the line connecting the spinous process of the seventh cervical vertebra (C7) with the lateral end of the acromion.","neck (acromion, mammalian cervical vertebra 7)",Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.,"apoplexy, scrofula, mastitis, insufficient lactation, pain in the shoulder, rigidity of the neck, pain in the neck, motor impairment of the arm, pain in the back, difficult labor","The posterior branch of the supraclavicular nerve, the accessory nerve.",,The transverse cervical artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 182. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_6091821,TARA:6091821,GB 22,Meridian Acupuncture Point,"G 22, Gallbladder 22",Yuanye,淵(渊)液,Gallbladder Meridian,,"In the lateral thoracic region, in the fourth intercostal space, on the midaxillary line.","lateral thoracic region (fourth intercostal space, midaxillary line)",Puncture obliquely 0.3-0.5 inch.,"pain in the hypochondriac region, pain in the arm, fullness in the chest, motor impairment of the arm, swelling of the axillary region","The lateral cutaneous branch of the fifth intercostal nerve, the branch of the long thoracic nerve.",,"The thoracoepigastric vein, the lateral thoracic artery and vein, the fifth intercostal artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 182. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_6515979,TARA:6515979,GB 23,Meridian Acupuncture Point,"G 23, Gallbladder 23",Zhejin,輒(辄)筋,Gallbladder Meridian,,"In the lateral thoracic region, in the fourth intercostal space, 1 B-cun anterior to the midaxillary line.","lateral thoracic region (fourth intercostal space, midaxillary line)",Puncture obliquely 0.3-0.5 inch. Moxibustion is applicable.,"asthma, pain in the hypochondriac region, fullness in the chest",The lateral cutaneous branch of the fifth intercostal nerve.,,"The lateral thoracic artery and vein, the fifth intercostal artery and vein.",,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 183. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_0214009,TARA:0214009,GB 24,Meridian Acupuncture Point,"Front-Mu Point of the Gallbladder, G 24, Gallbladder 24",Riyue,日月,Gallbladder Meridian,Front-Mu Point of the Gallbladder,"In the anterior thoracic region, in the seventh intercostal space, 4 B-cun lateral to the anterior median line.
 - Note 1: GB 24 is inferior to the centre of the nipple, one rib inferior to LR 14.
 - Note 2: In females, GB 24 can be found at the intersection of the midclavicular line and the seventh intercostal space.","anterior chest (nipple, anterior median line, midclavicular line, seventh intercostal space)",Puncture obliquely 0.3-0.5 inch. Moxibustion is applicable.,"hiccup, vomiting, acid regurgitation, mastitis, jaundice, pain in the hypochondriac region",The seventh intercostal nerve.,,The seventh intercostal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 183. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_5698325,TARA:5698325,GB 24 (Female),Meridian Acupuncture Point,Gallbladder 24 (Female),,,Gallbladder Meridian,,"In the anterior thoracic region, in the seventh intercostal space, 4 B-cun lateral to the anterior median line.
 - Note 1: GB 24 is inferior to the centre of the nipple, one rib inferior to LR 14.
 - Note 2: In females, GB 24 can be found at the intersection of the midclavicular line and the seventh intercostal space.","anterior chest (nipple, anterior median line, midclavicular line, seventh intercostal space)",Puncture obliquely 0.3-0.5 inch. Moxibustion is applicable.,"hiccup, vomiting, acid regurgitation, mastitis, jaundice, pain in the hypochondriac region",The seventh intercostal nerve.,,The seventh intercostal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 183. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_6308255,TARA:6308255,GB 24 (Male),Meridian Acupuncture Point,Gallbladder 24 (Male),,,Gallbladder Meridian,,"In the anterior thoracic region, in the seventh intercostal space, 4 B-cun lateral to the anterior median line.
 - Note 1: GB 24 is inferior to the centre of the nipple, one rib inferior to LR 14.
 - Note 2: In females, GB 24 can be found at the intersection of the midclavicular line and the seventh intercostal space.","anterior chest (nipple, anterior median line, seventh intercostal space)",Puncture obliquely 0.3-0.5 inch. Moxibustion is applicable.,"hiccup, vomiting, acid regurgitation, mastitis, jaundice, pain in the hypochondriac region",The seventh intercostal nerve.,,The seventh intercostal artery and vein.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 183. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_1882219,TARA:1882219,GB 25,Meridian Acupuncture Point,"Front-Mu Point of the Kidney, G 25, Gallbladder 25",Jingmen,京門(门),Gallbladder Meridian,Front-Mu Point of the Kidney,"On the lateral abdomen, inferior to the free extremity of the 12th rib.
 - Note: GB 25 can be located while the subject is lying on the side with the shoulder flexed. The free extremity of the 12th rib can be palpated below the inferior border of the costal arch posterior to the posterior axillary line.","abdomen (rib 12, posterior axillary line, costal arch)",Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.,"abdominal distension, pain in the hypochondriac region, borborygmus, diarrhea, pain in the lumbar region",The eleventh intercostal nerve.,,,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 184. https://iris.who.int/handle/10665/353407"
http://purl.org/tara/ontology/TARA_8088170,TARA:8088170,GB 26,Meridian Acupuncture Point,"G 26, Gallbladder 26",Daimai,"帶(带,帯)脈(脉)",Gallbladder Meridian,,"On the lateral abdomen, inferior to the free extremity of the 11th rib, at the same level as the centre of umbilicus.
 - Note 1: GB 26 can be located by first locating the tenth rib, then searching for the free extremity of the 11th rib that is situated immediately below the inferior border of the costal arch.
 - Note 2: GB 26 is inferior to LR 13, at the same level as CV 8.","abdomen (umbilicus, rib 11, costal arch)",Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.,"amenorrhea, irregular menstruation, pain in the hypochondriac region, hernia, abdominal pain, leukorrhea, pain in the lumbar region",The subcostal nerve.,,The subcostal artery and vem.,,,"[Acupuncture Method, Vasculature, Innervation, Indications] Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 9, Acupuncture Points of the Jueyin and Shaoyang Meridians. ISBN 978-7-119-01758-7.
[Acupoint Location, Pinyin Label, Chinese Label] WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. Page 184. https://iris.who.int/handle/10665/353407"
